event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-01 02:56:01 UTC,purchase,17800473,2053013559868129947,computers.desktop,zeta,74.57,533735747,1172d790-e699-4178-a414-5d30fd7e1396
2019-10-01 02:58:10 UTC,purchase,1480607,2053013561092866779,computers.desktop,pulser,1763.21,555160976,1f7ba46b-4410-4325-8c02-9341537a0252
2019-10-01 03:19:56 UTC,purchase,1480680,2053013561092866779,computers.desktop,hp,571.19,513326552,4afe0e24-ab77-48b7-8a09-d1c3fd1b9369
2019-10-01 03:30:37 UTC,purchase,1480643,2053013561092866779,computers.desktop,lenovo,662.95,530820988,9b9cc736-3daf-4451-a2d5-05c53011c2e5
2019-10-01 03:52:03 UTC,purchase,1480731,2053013561092866779,computers.desktop,pulser,975.55,512742880,933010d0-2c90-4adc-a161-ec953aa99b91
2019-10-01 04:07:29 UTC,purchase,17800473,2053013559868129947,computers.desktop,zeta,74.57,533735747,8a56e4a0-8f6b-4bb8-8a52-14b034a015e7
2019-10-01 04:37:07 UTC,purchase,1480558,2053013561092866779,computers.desktop,netechnics,1055.34,514239263,6296bd53-730e-4939-b358-fbbbe31c7ec0
2019-10-01 04:40:06 UTC,purchase,1480474,2053013561092866779,computers.desktop,apple,1930.53,514132030,3502c188-a839-42ab-8288-91edeacab9aa
2019-10-01 05:10:06 UTC,purchase,1480707,2053013561092866779,computers.desktop,pulser,501.92,513932100,286039d9-926a-4cfa-83a1-7b3fb58a3da2
2019-10-01 05:10:16 UTC,purchase,1480712,2053013561092866779,computers.desktop,pulser,795.36,552265052,4711c30c-5776-4a82-bad1-6bfea8733a5c
2019-10-01 05:10:54 UTC,purchase,17000090,2053013558391734853,computers.desktop,,159.33,539121634,83d7fa45-f7cc-4c07-905e-5b359ed693cc
2019-10-01 05:29:54 UTC,purchase,1480544,2053013561092866779,computers.desktop,smart,864.24,552265052,2551d2f2-3add-421e-ba8d-5cc5f0e30e86
2019-10-01 05:31:19 UTC,purchase,1480479,2053013561092866779,computers.desktop,smart,1006.59,552265052,2551d2f2-3add-421e-ba8d-5cc5f0e30e86
2019-10-01 05:32:27 UTC,purchase,1480541,2053013561092866779,computers.desktop,smart,691.39,552265052,2551d2f2-3add-421e-ba8d-5cc5f0e30e86
2019-10-01 05:33:15 UTC,purchase,1480424,2053013561092866779,computers.desktop,smart,739.53,552265052,2551d2f2-3add-421e-ba8d-5cc5f0e30e86
2019-10-01 05:35:28 UTC,purchase,1480544,2053013561092866779,computers.desktop,smart,864.24,552265052,2551d2f2-3add-421e-ba8d-5cc5f0e30e86
2019-10-01 05:37:23 UTC,purchase,1480244,2053013561092866779,computers.desktop,hp,792.02,552265052,2551d2f2-3add-421e-ba8d-5cc5f0e30e86
2019-10-01 05:38:26 UTC,purchase,1480238,2053013561092866779,computers.desktop,lenovo,694.48,552265052,2551d2f2-3add-421e-ba8d-5cc5f0e30e86
2019-10-01 05:54:21 UTC,purchase,11600160,2053013554566529381,computers.desktop,microlab,16.6,551008846,de851660-4593-4398-930f-11b33d818fa5
